metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_blocked,1693996015,59.050000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996015,11.849000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996015,22.616000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996015,0.054000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996015,1137.127000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996015,0.036000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996015,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996015,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996015,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996015,1142.050000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996015,28.646000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996015,7.245000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996015,21.352000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996015,0.053000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996015,1141.973000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996015,0.024000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
